ParentKey;LineNum;ItemCode;ItemDescription;Quantity;Price;LineTotal;Currency;WarehouseCode;AccountCode;CostingCode;TaxCode;U_HAK_DESTINO
DocNum;LineNum;ItemCode;Dscription;Quantity;Price;LineTotal;Currency;WhsCode;AcctCode;OcrCode;TaxCode;U_HAK_DESTINO
291;0;;COMPRA LIQUIDACION JUNIO 2024;1;767.97;767.97;SOL;;6011100;GV-AREQ;IGV_EXE;
292;0;;COMPRA LIQUIDACION JUNIO 2024;1;3910.8;3910.8;SOL;;6011100;GV-LARCO;IGV_EXE;
293;0;;COMPRA LIQUIDACION JULIO 2024;1;481.71;481.71;SOL;;6011100;GV-MEGA;IGV_EXE;
294;0;;COMPRA LIQUIDACION JULIO 2024;1;279.6;279.6;SOL;;6011100;GV-PURCH;IGV_EXE;
295;0;;COMPRA LIQUIDACION JULIO 2024;1;122.4;122.4;SOL;;6011100;GV-STANI;IGV_EXE;
296;0;;COMPRA LIQUIDACION JULIO 2024;1;790.79;790.79;SOL;;6011100;GV-AREQ;IGV_EXE;
297;0;;COMPRA LIQUIDACION JULIO 2024;1;346.16;346.16;SOL;;6011100;GV-LARCO;IGV_EXE;
298;0;;COMPRA LIQUIDACION JULIO 2024;1;574.6;574.6;SOL;;6011100;GV-PURCH;IGV_EXE;
299;0;;COMPRA LIQUIDACION JULIO 2024;1;461.5;461.5;SOL;;6011100;GV-MEGA;IGV_EXE;
300;0;;COMPRA LIQUIDACION JULIO 2024;1;232.05;232.05;SOL;;6011100;GV-STANI;IGV_EXE;
301;0;;COMPRA LIQUIDACION JULIO 2024;1;653.9;653.9;SOL;;6011100;GV-MEGA;IGV_EXE;
302;0;;COMPRA LIQUIDACION JULIO 2024;1;320.45;320.45;SOL;;6011100;GV-LARCO;IGV_EXE;
303;0;;COMPRA LIQUIDACION JULIO 2024;1;116.35;116.35;SOL;;6011100;GV-STANI;IGV_EXE;
304;0;;COMPRA LIQUIDACION JULIO 2024;1;159.9;159.9;SOL;;6011100;GV-STANI;IGV_EXE;
305;0;;COMPRA LIQUIDACION JULIO 2024;1;568.1;568.1;SOL;;6011100;GV-PURCH;IGV_EXE;
306;0;;COMPRA LIQUIDACION JULIO 2024;1;102.7;102.7;SOL;;6011100;GV-MEGA;IGV_EXE;
307;0;;COMPRA LIQUIDACION JULIO 2024;1;358.8;358.8;SOL;;6011100;GV-MEGA;IGV_EXE;
308;0;;COMPRA LIQUIDACION JULIO 2024;1;14.95;14.95;SOL;;6011100;GV-LARCO;IGV_EXE;
309;0;;COMPRA LIQUIDACION JULIO 2024;1;154.05;154.05;SOL;;6011100;GV-LARCO;IGV_EXE;
310;0;;COMPRA LIQUIDACION JULIO 2024;1;41.4;41.4;SOL;;6011100;GV-PURCH;IGV_EXE;
311;0;;COMPRA LIQUIDACION JULIO 2024;1;62.4;62.4;SOL;;6011100;GV-LARCO;IGV_EXE;
312;0;;COMPRA LIQUIDACION JULIO 2024;1;111.6;111.6;SOL;;6011100;GV-STANI;IGV_EXE;
313;0;;COMPRA LIQUIDACION JULIO 2024;1;158.1;158.1;SOL;;6011100;GV-PURCH;IGV_EXE;
314;0;;COMPRA LIQUIDACION JULIO 2024;1;62;62;SOL;;6011100;GV-MEGA;IGV_EXE;
315;0;;COMPRA LIQUIDACION JULIO 2024;1;62;62;SOL;;6011100;GV-LARCO;IGV_EXE;
316;0;;COMPRA LIQUIDACION JULIO 2024;1;167.4;167.4;SOL;;6011100;GV-AREQ;IGV_EXE;
317;0;;COMPRA LIQUIDACION JULIO 2024;1;97.2;97.2;SOL;;6011100;GV-STANI;IGV_EXE;
318;0;;COMPRA LIQUIDACION JULIO 2024;1;61.2;61.2;SOL;;6011100;GV-AREQ;IGV_EXE;
319;0;;COMPRA LIQUIDACION JULIO 2024;1;697.8;697.8;SOL;;6011100;GV-MEGA;IGV_EXE;
320;0;;COMPRA LIQUIDACION JULIO 2024;1;397.2;397.2;SOL;;6011100;GV-PURCH;IGV_EXE;
321;0;;COMPRA LIQUIDACION JULIO 2024;1;1033.2;1033.2;SOL;;6011100;GV-LARCO;IGV_EXE;
322;0;;COMPRA LIQUIDACION JULIO 2024;1;181.2;181.2;SOL;;6011100;GV-PURCH;IGV_EXE;
323;0;;COMPRA LIQUIDACION JULIO 2024;1;78;78;SOL;;6011100;GV-MEGA;IGV_EXE;
324;0;;COMPRA LIQUIDACION JULIO 2024;1;109.8;109.8;SOL;;6011100;GV-LARCO;IGV_EXE;
325;0;;COMPRA LIQUIDACION JULIO 2024;1;104.4;104.4;SOL;;6011100;GV-AREQ;IGV_EXE;
326;0;;COMPRA LIQUIDACION JULIO 2024;1;45.5;45.5;SOL;;6011100;GV-LARCO;IGV_EXE;
327;0;;COMPRA LIQUIDACION JULIO 2024;1;16.25;16.25;SOL;;6011100;GV-AREQ;IGV_EXE;
328;0;;COMPRA LIQUIDACION JULIO 2024;1;51.35;51.35;SOL;;6011100;GV-AREQ;IGV_EXE;
329;0;;COMPRA LIQUIDACION JULIO 2024;1;501.15;501.15;SOL;;6011100;GV-LARCO;IGV_EXE;
330;0;;COMPRA LIQUIDACION JULIO 2024;1;146.9;146.9;SOL;;6011100;GV-LARCO;IGV_EXE;
331;0;;COMPRA LIQUIDACION JULIO 2024;1;22.8;22.8;SOL;;6011100;GV-MEGA;IGV_EXE;
332;0;;COMPRA LIQUIDACION JULIO 2024;1;68.4;68.4;SOL;;6011100;GV-STANI;IGV_EXE;
333;0;;COMPRA LIQUIDACION JULIO 2024;1;22.8;22.8;SOL;;6011100;GV-MEGA;IGV_EXE;
